                Great Lakes Average Ice Concentration
------------------------------------------------------------------
                       Ice Concentration (%)
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
2016 112    1.04    0.00    1.35    0.00    0.00    0.00    0.70
2016 113    1.04    0.00    1.36    0.00    0.00    0.00    0.70
2016 114    0.93    0.00    1.03    0.00    0.00    0.00    0.58
2016 115    0.91    0.00    0.53    0.00    0.00    0.00    0.46
2016 116    0.91    0.00    0.52    0.00    0.00    0.00    0.45
2016 117    0.91    0.00    0.30    0.00    0.00    0.00    0.40
2016 118    0.93    0.00    0.00    0.00    0.00    0.00    0.34
2016 119    0.94    0.00    0.00    0.00    0.00    0.00    0.34
2016 120    0.94    0.00    0.00    0.00    0.00    0.00    0.34
2016 121    0.32    0.00    0.00    0.00    0.00    0.00    0.12
2016 122    0.54    0.00    0.00    0.00    0.00    0.00    0.20
2016 123    0.24    0.00    0.00    0.00    0.00    0.00    0.09
2016 124    0.24    0.00    0.00    0.00    0.00    0.00    0.09
2016 125    0.24    0.00    0.00    0.00    0.00    0.00    0.09
2016 126    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2016 127    0.00    0.00    0.00    0.00    0.00    0.00    0.00
